,排名,片名,评分,评价人数,制片国家,类型,上映日期,时长,影片链接
0,No.1,肖申克的救赎,9.7,2882225,美国,"剧情,犯罪","1994-09-10(多伦多电影节),1994-10-14(美国)",142分钟,https://movie.douban.com/subject/1292052/
1,No.2,霸王别姬,9.6,2128844,"中国大陆,中国香港","剧情,爱情,同性","1993-07-26(中国大陆),1993-01-01(中国香港)",171分钟,https://movie.douban.com/subject/1291546/
2,No.3,阿甘正传,9.5,2150516,美国,"剧情,爱情","1994-06-23(洛杉矶首映),1994-07-06(美国)",142分钟,https://movie.douban.com/subject/1292720/
3,No.4,泰坦尼克号,9.5,2177922,"美国,墨西哥","剧情,爱情,灾难","1998-04-03(中国大陆),2023-04-03(中国大陆重映),1997-11-01(东京电影节),1997-12-19(美国)",194分钟,https://movie.douban.com/subject/1292722/
4,No.5,这个杀手不太冷,9.4,2285872,"法国,美国","剧情,动作,犯罪",1994-09-14(法国),110分钟(剧场版),https://movie.douban.com/subject/1295644/
5,No.6,千与千寻,9.4,2232176,日本,"剧情,动画,奇幻","2019-06-21(中国大陆),2001-07-20(日本)",125分钟,https://movie.douban.com/subject/1291561/
6,No.7,美丽人生,9.6,1320668,意大利,"剧情,喜剧,爱情,战争","2020-01-03(中国大陆),1997-12-20(意大利)",116分钟(国际版),https://movie.douban.com/subject/1292063/
7,No.8,辛德勒的名单,9.6,1100617,美国,"剧情,历史,战争","1993-11-30(华盛顿首映),1994-02-04(美国)",195分钟,https://movie.douban.com/subject/1295124/
8,No.9,星际穿越,9.4,1822293,"美国,英国,加拿大","剧情,科幻,冒险","2014-11-12(中国大陆),2020-08-02(中国大陆重映),2014-11-07(美国)",169分钟,https://movie.douban.com/subject/1889243/
9,No.10,盗梦空间,9.4,2050297,"美国,英国","剧情,科幻,悬疑,冒险","2010-09-01(中国大陆),2020-08-28(中国大陆重映),2010-07-16(美国)",148分钟,https://movie.douban.com/subject/3541415/
10,No.11,楚门的世界,9.4,1695955,美国,"剧情,科幻",1998-06-05(美国),103分钟,https://movie.douban.com/subject/1292064/
11,No.12,忠犬八公的故事,9.4,1393972,"美国,英国",剧情,"2009-06-13(西雅图电影节),2010-03-12(英国)",93分钟,https://movie.douban.com/subject/3011091/
12,No.13,海上钢琴师,9.3,1670413,意大利,"剧情,音乐","2019-11-15(中国大陆),1998-10-28(意大利)",165分钟,https://movie.douban.com/subject/1292001/
13,No.14,三傻大闹宝莱坞,9.2,1850818,印度,"剧情,喜剧,爱情,歌舞","2011-12-08(中国大陆),2009-12-25(印度)",171分钟(印度),https://movie.douban.com/subject/3793023/
14,No.15,放牛班的春天,9.3,1304864,"法国,瑞士,德国","剧情,音乐","2004-10-16(中国大陆),2022-12-02(中国大陆重映),2004-03-17(法国)",97分钟,https://movie.douban.com/subject/1291549/
15,No.16,机器人总动员,9.3,1310028,美国,"科幻,动画,冒险",2008-06-27(美国),98分钟,https://movie.douban.com/subject/2131459/
16,No.17,无间道,9.3,1356085,中国香港,"剧情,惊悚,犯罪","2003-09-05(中国大陆),2002-12-12(中国香港)",101分钟,https://movie.douban.com/subject/1307914/
17,No.18,疯狂动物城,9.2,1921313,美国,"喜剧,动画,冒险","2016-03-04(中国大陆/美国),2020-07-24(中国大陆重映)",109分钟(中国大陆),https://movie.douban.com/subject/25662329/
18,No.19,控方证人,9.6,551186,美国,"剧情,悬疑,犯罪",1957-12-17(美国),116分钟,https://movie.douban.com/subject/1296141/
19,No.20,大话西游之大圣娶亲,9.2,1526510,"中国香港,中国大陆","喜剧,爱情,奇幻,古装","2014-10-24(中国大陆),2017-04-13(中国大陆重映),1995-02-04(中国香港)",95分钟,https://movie.douban.com/subject/1292213/
20,No.21,熔炉,9.4,927220,韩国,剧情,2011-09-22(韩国),125分钟,https://movie.douban.com/subject/5912992/
21,No.22,教父,9.3,962391,美国,"剧情,犯罪","1972-03-15(纽约首映),1972-03-24(美国)",175 分钟,https://movie.douban.com/subject/1291841/
22,No.23,触不可及,9.3,1106988,法国,"剧情,喜剧",2011-11-02(法国),112分钟,https://movie.douban.com/subject/6786002/
23,No.24,当幸福来敲门,9.2,1512893,美国,"剧情,家庭,传记","2008-01-17(中国大陆),2020-07-20(中国大陆重映),2006-12-15(美国)",117分钟,https://movie.douban.com/subject/1849031/
24,No.25,龙猫,9.2,1260074,日本,"动画,奇幻,冒险","2018-12-14(中国大陆),1988-04-16(日本)",86分钟,https://movie.douban.com/subject/1291560/
25,No.26,怦然心动,9.1,1823560,美国,"剧情,喜剧,爱情","2010-07-26(好莱坞首映),2010-09-10(美国)",90分钟,https://movie.douban.com/subject/3319755/
26,No.27,末代皇帝,9.3,878969,"英国,意大利,中国大陆,法国","剧情,传记,历史","1987-10-04(东京国际电影节),1987-10-23(意大利)",163分钟,https://movie.douban.com/subject/1293172/
27,No.28,寻梦环游记,9.1,1667460,美国,"喜剧,动画,音乐,奇幻","2017-11-24(中国大陆),2020-07-20(中国大陆重映),2017-11-22(美国)",105分钟,https://movie.douban.com/subject/20495023/
28,No.29,活着,9.3,839501,"中国大陆,中国香港","剧情,家庭,历史","1994-06-30(中国香港),1994-05-17(戛纳电影节)",132分钟,https://movie.douban.com/subject/1292365/
29,No.30,蝙蝠侠：黑暗骑士,9.2,1050762,"美国,英国","剧情,动作,科幻,惊悚,犯罪","2008-07-14(纽约首映),2008-07-18(美国)",152分钟,https://movie.douban.com/subject/1851857/
30,No.31,哈利·波特与魔法石,9.2,1181944,"美国,英国","奇幻,冒险","2002-01-26(中国大陆),2020-08-14(中国大陆重映),2001-11-04(英国首映),2001-11-16(美国)",152分钟,https://movie.douban.com/subject/1295038/
31,No.32,指环王3：王者无敌,9.3,798108,"美国,新西兰","剧情,动作,奇幻,冒险","2004-03-12(中国大陆),2021-05-14(中国大陆重映),2003-12-17(美国)",201分钟,https://movie.douban.com/subject/1291552/
32,No.33,乱世佳人,9.3,688261,美国,"剧情,爱情,历史,战争","1939-12-15(亚特兰大首映),1940-01-17(美国)",238分钟,https://movie.douban.com/subject/1300267/
33,No.34,我不是药神,9.0,2090530,中国大陆,"剧情,喜剧","2018-07-05(中国大陆),2018-06-30(大规模点映)",117分钟,https://movie.douban.com/subject/26752088/
34,No.35,飞屋环游记,9.1,1317069,美国,"剧情,喜剧,动画,冒险","2009-08-04(中国大陆),2009-05-13(戛纳电影节),2009-05-29(美国)",96分钟,https://movie.douban.com/subject/2129039/
35,No.36,素媛,9.3,682899,韩国,剧情,2013-10-02(韩国),122分钟,https://movie.douban.com/subject/21937452/
36,No.37,哈尔的移动城堡,9.1,1019191,日本,"动画,奇幻,冒险","2004-09-05(威尼斯电影节),2004-11-20(日本)",119分钟,https://movie.douban.com/subject/1308807/
37,No.38,十二怒汉,9.4,487156,美国,剧情,1957-04-10(美国),96分钟,https://movie.douban.com/subject/1293182/
38,No.39,何以为家,9.1,1038947,"黎巴嫩,美国,法国,塞浦路斯,卡塔尔,英国",剧情,"2019-04-29(中国大陆),2018-05-17(戛纳电影节),2018-09-20(黎巴嫩)",126分钟,https://movie.douban.com/subject/30170448/
39,No.40,摔跤吧！爸爸,9.0,1561626,印度,"剧情,家庭,传记,运动","2017-05-05(中国大陆),2016-12-23(印度)",161分钟(印度),https://movie.douban.com/subject/26387939/
40,No.41,让子弹飞,9.0,1689792,"中国大陆,中国香港","剧情,喜剧,动作,西部",2010-12-16(中国大陆),132分钟,https://movie.douban.com/subject/3742360/
41,No.42,鬼子来了,9.3,623579,中国大陆,"剧情,喜剧","2000-05-12(戛纳电影节),2002-04-27(日本)",139分钟,https://movie.douban.com/subject/1291858/
42,No.43,天空之城,9.2,866228,日本,"动画,奇幻,冒险","1992-05-01(中国大陆),2023-06-01(中国大陆重映),1986-08-02(日本)",125分钟,https://movie.douban.com/subject/1291583/
43,No.44,猫鼠游戏,9.1,1016948,"美国,加拿大","剧情,传记,犯罪","2003-04-11(中国大陆),2002-12-16(洛杉矶首映),2002-12-25(美国)",141 分钟,https://movie.douban.com/subject/1305487/
44,No.45,少年派的奇幻漂流,9.1,1342239,"美国,中国台湾,英国,加拿大","剧情,奇幻,冒险","2012-11-22(中国大陆),2012-09-28(纽约电影节),2012-11-21(美国)",127分钟,https://movie.douban.com/subject/1929463/
45,No.46,海蒂和爷爷,9.3,606729,"德国,瑞士","剧情,家庭,冒险","2019-05-16(中国大陆),2015-12-10(德国)",111分钟,https://movie.douban.com/subject/25958717/
46,No.47,钢琴家,9.3,634327,"英国,法国,波兰,德国","剧情,音乐,传记,战争","2002-05-24(戛纳电影节),2002-09-25(法国)",149分钟,https://movie.douban.com/subject/1296736/
47,No.48,大话西游之月光宝盒,9.0,1215842,"中国香港,中国大陆","喜剧,爱情,奇幻,古装","2014-10-24(中国大陆),1995-01-21(中国香港)",88分钟,https://movie.douban.com/subject/1299398/
48,No.49,指环王2：双塔奇兵,9.2,748015,"美国,新西兰","剧情,动作,奇幻,冒险","2003-04-25(中国大陆),2021-04-23(中国大陆重映),2002-12-05(纽约首映),2002-12-18(美国)",180分钟,https://movie.douban.com/subject/1291572/
49,No.50,闻香识女人,9.1,879547,美国,剧情,1992-12-23(美国),157 分钟,https://movie.douban.com/subject/1298624/
50,No.51,罗马假日,9.1,946215,美国,"剧情,喜剧,爱情","1953-08-20(威尼斯电影节),1953-09-02(美国)",118分钟,https://movie.douban.com/subject/1293839/
51,No.52,天堂电影院,9.2,676343,"意大利,法国","剧情,爱情","2021-06-11(中国大陆),1988-11-17(意大利)",155分钟,https://movie.douban.com/subject/1291828/
52,No.53,死亡诗社,9.2,720687,美国,剧情,"1989-06-02(多伦多首映),1989-06-09(美国)",128 分钟,https://movie.douban.com/subject/1291548/
53,No.54,绿皮书,8.9,1638533,"美国,中国大陆","剧情,喜剧,音乐,传记","2019-03-01(中国大陆),2018-09-11(多伦多电影节),2018-11-16(美国)",130分钟,https://movie.douban.com/subject/27060077/
54,No.55,大闹天宫,9.4,434698,中国大陆,"剧情,动画,奇幻,古装","1961(中国大陆),1964(中国大陆),1978(中国大陆)",113分钟,https://movie.douban.com/subject/1418019/
55,No.56,黑客帝国,9.1,833648,美国,"动作,科幻","2000-01-14(中国大陆),1999-03-31(美国)",136分钟,https://movie.douban.com/subject/1291843/
56,No.57,指环王1：护戒使者,9.1,841376,"新西兰,美国","剧情,动作,奇幻,冒险","2002-04-04(中国大陆),2021-04-16(中国大陆重映),2001-12-19(美国)",179分钟,https://movie.douban.com/subject/1291571/
57,No.58,教父2,9.3,549334,美国,"剧情,犯罪","1974-12-12(纽约首映),1974-12-20(美国)",202分钟,https://movie.douban.com/subject/1299131/
58,No.59,狮子王,9.1,834482,美国,"动画,歌舞,冒险","1995-07-15(中国大陆),1994-06-15(美国),2011-09-16(美国)",89 分钟,https://movie.douban.com/subject/1301753/
