No.87,春光乍泄,9.0,629138,"中国香港,日本,韩国","剧情,爱情,同性","1997-05-30(中国香港),1997-05-17(戛纳电影节)",96分钟,https://movie.douban.com/subject/1292679/
No.88,超脱,9.0,594566,美国,剧情,2011-04-25(翠贝卡电影节),98分钟,https://movie.douban.com/subject/5322596/
No.89,美国往事,9.2,409215,"美国,意大利","剧情,犯罪","1984-02-17(波士顿首映),1984-09-28(意大利)",229分钟(导演剪辑版),https://movie.douban.com/subject/1292262/
No.90,摩登时代,9.3,299008,美国,"剧情,喜剧,爱情",1936-02-25(美国),87分钟,https://movie.douban.com/subject/1294371/
No.91,喜剧之王,8.8,965255,中国香港,"剧情,喜剧,爱情",1999-02-13(中国香港),89分钟,https://movie.douban.com/subject/1302425/
No.92,致命ID,8.9,819390,美国,"剧情,悬疑,惊悚",2003-04-25(美国),90分钟,https://movie.douban.com/subject/1297192/
No.93,杀人回忆,8.9,709680,韩国,"剧情,动作,悬疑,惊悚,犯罪",2003-05-02(韩国),132分钟,https://movie.douban.com/subject/1300299/
No.94,七宗罪,8.8,937738,美国,"剧情,悬疑,惊悚,犯罪",1995-09-22(美国),127分钟,https://movie.douban.com/subject/1292223/
No.95,红辣椒,9.1,460393,日本,"科幻,动画,悬疑,惊悚","2006-09-02(威尼斯电影节),2006-11-25(日本)",90 分钟,https://movie.douban.com/subject/1865703/
No.96,加勒比海盗,8.8,852590,美国,"动作,奇幻,冒险","2003-11-21(中国大陆),2003-07-09(美国)",143 分钟,https://movie.douban.com/subject/1298070/
No.97,哈利·波特与密室,8.9,749979,"英国,美国","奇幻,冒险","2003-01-24(中国大陆),2002-11-15(英国/美国)",161分钟,https://movie.douban.com/subject/1296996/
No.98,一一,9.1,390857,"中国台湾,日本","剧情,爱情,家庭","2017-07-28(中国台湾),2000-05-14(戛纳电影节),2000-12-16(日本)",173分钟,https://movie.douban.com/subject/1292434/
No.99,狩猎,9.1,387766,"丹麦,瑞典",剧情,"2012-05-20(戛纳电影节),2013-01-10(丹麦)",115分钟,https://movie.douban.com/subject/6985810/
No.100,唐伯虎点秋香,8.7,1073107,中国香港,"喜剧,爱情,古装",1993-07-01(中国香港),102 分钟,https://movie.douban.com/subject/1306249/
No.101,7号房的礼物,8.9,554433,韩国,"剧情,喜剧,家庭",2013-01-23(韩国),127分钟,https://movie.douban.com/subject/10777687/
No.102,被嫌弃的松子的一生,8.9,700627,日本,"剧情,歌舞",2006-05-27(日本),130 分钟,https://movie.douban.com/subject/1787291/
No.103,请以你的名字呼唤我,8.9,717638,"意大利,法国,巴西,美国","剧情,爱情,同性","2017-01-22(圣丹斯电影节),2017-11-24(美国),2018-01-25(意大利)",132分钟,https://movie.douban.com/subject/26799731/
No.104,断背山,8.8,703880,"美国,加拿大","剧情,爱情,同性,家庭","2005-09-02(威尼斯电影节),2006-01-06(加拿大),2006-01-13(美国)",134分钟,https://movie.douban.com/subject/1418834/
No.105,剪刀手爱德华,8.7,1029338,美国,"剧情,爱情,奇幻",1990-12-06(美国),105分钟,https://movie.douban.com/subject/1292370/
No.106,爱在黎明破晓前,8.8,678447,"美国,奥地利,瑞士","剧情,爱情",1995-01-27(美国),101分钟,https://movie.douban.com/subject/1296339/
No.107,入殓师,8.9,662630,日本,剧情,"2021-10-29(中国大陆),2008-08-23(蒙特利尔电影节),2008-09-13(日本)",130分钟,https://movie.douban.com/subject/2149806/
No.108,勇敢的心,8.9,556754,美国,"剧情,动作,传记,历史,战争","1995-05-18(西雅图电影节),1995-05-24(美国)",178分钟,https://movie.douban.com/subject/1294639/
No.109,蝙蝠侠：黑暗骑士崛起,8.8,715001,"美国,英国","剧情,动作,科幻,惊悚,犯罪","2012-08-27(中国大陆),2012-07-20(美国)",165分钟,https://movie.douban.com/subject/3395373/
No.110,第六感,8.9,552812,美国,"剧情,悬疑,惊悚",1999-08-06(美国),107分钟,https://movie.douban.com/subject/1297630/
No.111,重庆森林,8.8,805996,中国香港,"剧情,爱情",1994-07-14(中国香港),102分钟,https://movie.douban.com/subject/1291999/
No.112,幽灵公主,8.9,521279,日本,"动画,奇幻,冒险",1997-07-12(日本),134分钟,https://movie.douban.com/subject/1297359/
No.113,超能陆战队,8.7,1005128,美国,"喜剧,动作,科幻,动画,冒险","2015-02-28(中国大陆),2020-07-31(中国大陆重映),2014-10-23(东京电影节),2014-11-07(美国)",102分钟,https://movie.douban.com/subject/11026735/
No.114,爱在日落黄昏时,8.9,556676,"美国,法国","剧情,爱情","2004-02-10(柏林电影节),2004-07-30(美国)",80 分钟,https://movie.douban.com/subject/1291990/
No.115,菊次郎的夏天,8.9,592756,日本,"剧情,喜剧","2020-09-25(中国大陆),1999-05-20(戛纳电影节),1999-06-05(日本)",121分钟,https://movie.douban.com/subject/1293359/
No.116,甜蜜蜜,8.9,548414,中国香港,"剧情,爱情","2015-02-13(中国大陆),1996-11-02(中国香港)",118分钟(中国大陆),https://movie.douban.com/subject/1305164/
No.117,天使爱美丽,8.7,951875,"法国,德国","剧情,喜剧,爱情","2001-04-25(法国),2001-08-16(德国)",122分钟,https://movie.douban.com/subject/1292215/
No.118,阳光灿烂的日子,8.9,611486,"中国大陆,中国香港","剧情,爱情","1995-08-21(中国大陆),1995-06-28(中国香港),1994-09-09(威尼斯电影节)",134分钟(中国大陆),https://movie.douban.com/subject/1291875/
No.119,借东西的小人阿莉埃蒂,8.9,550197,日本,"动画,奇幻,冒险",2010-07-17(日本),94分钟,https://movie.douban.com/subject/4202302/
No.120,小森林,9.0,423505,日本,剧情,2014-08-30(日本),111分钟,https://movie.douban.com/subject/25814705/
No.121,完美的世界,9.1,313297,美国,"剧情,犯罪",1993-11-24(美国),138分钟,https://movie.douban.com/subject/1300992/
No.122,消失的爱人,8.7,939244,美国,"剧情,悬疑,惊悚,犯罪","2014-09-26(纽约电影节),2014-10-03(美国)",149分钟,https://movie.douban.com/subject/21318488/
No.123,无人知晓,9.1,317340,日本,剧情,"2004-05-13(戛纳电影节),2004-08-07(日本)",141分钟,https://movie.douban.com/subject/1292337/
No.124,倩女幽魂,8.8,733655,中国香港,"爱情,奇幻,武侠,古装","2011-04-30(中国大陆),1987-07-18(中国香港)",98分钟(香港),https://movie.douban.com/subject/1297447/
No.125,寄生虫,8.8,1361583,韩国,剧情,"2019-05-21(戛纳电影节),2019-05-30(韩国)",132分钟,https://movie.douban.com/subject/27010768/
No.126,时空恋旅人,8.8,664739,英国,"喜剧,爱情,奇幻",2013-09-04(英国),123分钟,https://movie.douban.com/subject/10577869/
No.127,侧耳倾听,8.9,460012,日本,"剧情,爱情,动画",1995-07-15(日本),111分钟,https://movie.douban.com/subject/1297052/
No.128,小森林,9.0,377825,日本,剧情,2015-02-14(日本),120分钟,https://movie.douban.com/subject/25814707/
No.129,幸福终点站,8.8,566335,美国,"剧情,喜剧,爱情","2005-01-14(中国大陆),2004-06-18(美国)",128分钟,https://movie.douban.com/subject/1292274/
No.130,驯龙高手,8.8,751691,美国,"动画,奇幻,冒险","2010-05-14(中国大陆),2010-03-18(俄罗斯),2010-03-26(美国)",98分钟,https://movie.douban.com/subject/2353023/
No.131,一个叫欧维的男人决定去死,8.9,478216,瑞典,剧情,2015-12-25(瑞典),116分钟,https://movie.douban.com/subject/26628357/
No.132,教父3,9.0,371808,美国,"剧情,犯罪",1990-12-25(美国),162分钟,https://movie.douban.com/subject/1294240/
No.133,未麻的部屋,9.1,329943,日本,"动画,惊悚,奇幻","1997-08-05(加拿大奇幻电影节),1998-02-28(日本)",81 分钟,https://movie.douban.com/subject/1395091/
No.134,萤火之森,8.9,535426,日本,"剧情,爱情,动画,奇幻",2011-09-17(日本),45分钟,https://movie.douban.com/subject/5989818/
No.135,怪兽电力公司,8.8,665258,美国,"喜剧,动画,儿童,奇幻,冒险","2001-11-02(美国),2012-12-19(美国)",92分钟,https://movie.douban.com/subject/1291579/
No.136,哈利·波特与火焰杯,8.8,653981,"英国,美国","悬疑,奇幻,冒险","2005-11-18(中国大陆),2005-11-06(英国)",157 分钟,https://movie.douban.com/subject/1309055/
No.137,傲慢与偏见,8.7,794985,"法国,英国,美国","剧情,爱情",2005-09-16(英国),129 分钟,https://movie.douban.com/subject/1418200/
No.138,玩具总动员3,8.9,511705,美国,"喜剧,动画,奇幻,冒险","2010-06-16(中国大陆),2010-06-18(美国)",103分钟,https://movie.douban.com/subject/1858711/
No.139,新世界,8.9,430997,韩国,"剧情,犯罪",2013-02-21(韩国),134分钟,https://movie.douban.com/subject/10437779/
No.140,釜山行,8.6,1191852,韩国,"动作,惊悚,灾难","2016-05-13(戛纳电影节),2016-07-20(韩国)",118分钟,https://movie.douban.com/subject/25986180/
No.141,神偷奶爸,8.7,942562,"美国,法国","喜剧,动画,冒险","2010-06-20(莫斯科电影节),2010-07-09(美国)",95分钟,https://movie.douban.com/subject/3287562/
No.142,被解救的姜戈,8.8,605157,美国,"剧情,动作,西部,冒险","2013-05-12(中国大陆),2012-12-25(美国)",163分钟(中国大陆),https://movie.douban.com/subject/6307447/
No.143,玛丽和马克思,9.0,420344,"澳大利亚,美国","剧情,喜剧,动画","2009-01-15(圣丹斯电影节),2009-04-09(澳大利亚)",92分钟,https://movie.douban.com/subject/3072124/
No.144,告白,8.8,668687,日本,"剧情,悬疑",2010-06-05(日本),106分钟,https://movie.douban.com/subject/4268598/
No.145,大鱼,8.8,565837,美国,"剧情,家庭,奇幻,冒险","2003-12-04(纽约首映),2004-01-09(美国)",125 分钟,https://movie.douban.com/subject/1291545/
No.146,哪吒闹海,9.2,257665,中国大陆,"动画,奇幻,冒险",1979-05-19(中国大陆),65分钟,https://movie.douban.com/subject/1307315/
No.147,射雕英雄传之东成西就,8.7,633241,中国香港,"喜剧,奇幻,武侠,古装",1993-02-05(中国香港),113分钟(香港),https://movie.douban.com/subject/1316510/
No.148,茶馆,9.6,143288,中国大陆,"剧情,历史",1982(中国大陆),118分钟,https://movie.douban.com/subject/1461403/
No.149,喜宴,9.0,359630,"中国台湾,美国","剧情,喜剧,爱情,同性,家庭","1993-02(柏林电影节),1993-08-04(美国)",108分钟,https://movie.douban.com/subject/1303037/
No.150,头号玩家,8.7,1360770,美国,"动作,科幻,冒险","2018-03-30(中国大陆),2018-03-11(西南偏南电影节),2018-03-29(美国)",140分钟,https://movie.douban.com/subject/4920389/
No.151,模仿游戏,8.8,642494,"英国,美国","剧情,同性,传记,战争","2015-07-21(中国大陆),2014-08-29(特柳赖德电影节),2014-11-14(英国),2014-12-25(美国)",114分钟,https://movie.douban.com/subject/10463953/
No.152,九品芝麻官,8.7,673835,"中国香港,中国大陆","剧情,喜剧,古装",1994-03-31(中国香港),108分钟,https://movie.douban.com/subject/1297518/
No.153,阳光姐妹淘,8.8,588243,韩国,"剧情,喜剧",2011-05-04(韩国),124分钟,https://movie.douban.com/subject/4917726/
No.154,我是山姆,9.0,336129,美国,"剧情,家庭",2001-12-03(美国),132 分钟,https://movie.douban.com/subject/1306861/
No.155,色，戒,8.7,801171,"中国台湾,中国大陆,美国,中国香港","剧情,爱情,情色","2007-11-01(中国大陆),2007-09-24(中国台湾),2007-09-26(中国香港),2007-08-30(威尼斯电影节),2007-10-26(美国)",158分钟,https://movie.douban.com/subject/1828115/
No.156,花样年华,8.7,602886,中国香港,"剧情,爱情","2000-09-29(中国香港),2000-05-20(戛纳电影节)",98分钟,https://movie.douban.com/subject/1291557/
No.157,血战钢锯岭,8.7,779180,"澳大利亚,美国","剧情,传记,历史,战争","2016-12-08(中国大陆),2016-09-04(威尼斯电影节),2016-11-04(美国)",139分钟(中国大陆),https://movie.douban.com/subject/26325320/
No.158,恐怖直播,8.7,648253,韩国,"剧情,悬疑,犯罪",2013-07-31(韩国),97分钟,https://movie.douban.com/subject/21360417/
No.159,七武士,9.3,196755,日本,"剧情,动作,冒险",1954-04-26(日本),207分钟,https://movie.douban.com/subject/1295399/
No.160,头脑特工队,8.8,607593,美国,"喜剧,动画,冒险","2015-10-06(中国大陆),2015-06-19(美国)",95分钟,https://movie.douban.com/subject/10533913/
No.161,惊魂记,9.0,291364,美国,"悬疑,惊悚,恐怖","1960-06-16(纽约首映),1960-09-08(美国)",109分钟,https://movie.douban.com/subject/1293181/
No.162,黑客帝国3：矩阵革命,8.8,444623,美国,"动作,科幻",2003-11-05(美国/中国大陆),129 分钟,https://movie.douban.com/subject/1302467/
No.163,你的名字。,8.5,1399327,日本,"剧情,爱情,动画","2016-12-02(中国大陆),2016-08-26(日本)",106分钟,https://movie.douban.com/subject/26683290/
No.164,电锯惊魂,8.8,529200,美国,"悬疑,惊悚,恐怖","2004-01-19(圣丹斯电影节),2004-10-29(美国)",103分钟,https://movie.douban.com/subject/1417598/
No.165,三块广告牌,8.7,816043,"英国,美国","剧情,犯罪","2018-03-02(中国大陆),2017-09-04(威尼斯电影节),2017-12-01(美国)",115分钟,https://movie.douban.com/subject/26611804/
